"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - United Kingdom (UK)","Actual Total Load [MW] - United Kingdom (UK)"
"08.01.2024 14:30 - 08.01.2024 15:00","N/A","1251"
"08.01.2024 15:00 - 08.01.2024 15:30","N/A","1239"
"08.01.2024 15:30 - 08.01.2024 16:00","N/A","1198"
"08.01.2024 16:00 - 08.01.2024 16:30","N/A","1195"
"08.01.2024 16:30 - 08.01.2024 17:00","N/A","1193"
"08.01.2024 17:00 - 08.01.2024 17:30","N/A","1187"
"08.01.2024 17:30 - 08.01.2024 18:00","N/A","1214"
"08.01.2024 18:00 - 08.01.2024 18:30","N/A","1242"
"08.01.2024 18:30 - 08.01.2024 19:00","N/A","1316"
"08.01.2024 19:00 - 08.01.2024 19:30","N/A","1417"
"08.01.2024 19:30 - 08.01.2024 20:00","N/A","1414"
"08.01.2024 20:00 - 08.01.2024 20:30","N/A","1350"
"08.01.2024 20:30 - 08.01.2024 21:00","N/A","1292"
"08.01.2024 21:00 - 08.01.2024 21:30","N/A","1239"
"08.01.2024 21:30 - 08.01.2024 22:00","N/A","1198"
"08.01.2024 22:00 - 08.01.2024 22:30","N/A","1152"
"08.01.2024 22:30 - 08.01.2024 23:00","N/A","1106"
"08.01.2024 23:00 - 08.01.2024 23:30","N/A","1069"
"08.01.2024 23:30 - 09.01.2024 00:00","N/A","1002"
"09.01.2024 00:00 - 09.01.2024 00:30","N/A","948"
"09.01.2024 00:30 - 09.01.2024 01:00","N/A","873"
"09.01.2024 01:00 - 09.01.2024 01:30","N/A","803"
"09.01.2024 01:30 - 09.01.2024 02:00","N/A","746"
"09.01.2024 02:00 - 09.01.2024 02:30","N/A","698"
"09.01.2024 02:30 - 09.01.2024 03:00","N/A","666"
"09.01.2024 03:00 - 09.01.2024 03:30","N/A","644"
"09.01.2024 03:30 - 09.01.2024 04:00","N/A","660"
"09.01.2024 04:00 - 09.01.2024 04:30","N/A","646"
"09.01.2024 04:30 - 09.01.2024 05:00","N/A","636"
"09.01.2024 05:00 - 09.01.2024 05:30","N/A","627"
"09.01.2024 05:30 - 09.01.2024 06:00","N/A","623"
"09.01.2024 06:00 - 09.01.2024 06:30","N/A","613"
"09.01.2024 06:30 - 09.01.2024 07:00","N/A","618"
"09.01.2024 07:00 - 09.01.2024 07:30","N/A","632"
"09.01.2024 07:30 - 09.01.2024 08:00","N/A","658"
"09.01.2024 08:00 - 09.01.2024 08:30","N/A","703"
"09.01.2024 08:30 - 09.01.2024 09:00","N/A","791"
"09.01.2024 09:00 - 09.01.2024 09:30","N/A","899"
"09.01.2024 09:30 - 09.01.2024 10:00","N/A","1031"
"09.01.2024 10:00 - 09.01.2024 10:30","N/A","1112"
"09.01.2024 10:30 - 09.01.2024 11:00","N/A","1147"
"09.01.2024 11:00 - 09.01.2024 11:30","N/A","1186"
"09.01.2024 11:30 - 09.01.2024 12:00","N/A","1227"
"09.01.2024 12:00 - 09.01.2024 12:30","N/A","1230"
"09.01.2024 12:30 - 09.01.2024 13:00","N/A","1218"
"09.01.2024 13:00 - 09.01.2024 13:30","N/A","1218"
"09.01.2024 13:30 - 09.01.2024 14:00","N/A","1215"
"09.01.2024 14:00 - 09.01.2024 14:30","N/A","1209"
"09.01.2024 14:30 - 09.01.2024 15:00","N/A","1200"
"09.01.2024 15:00 - 09.01.2024 15:30","N/A","1186"
"09.01.2024 15:30 - 09.01.2024 16:00","N/A","1173"
"09.01.2024 16:00 - 09.01.2024 16:30","N/A","1159"
"09.01.2024 16:30 - 09.01.2024 17:00","N/A","1168"
"09.01.2024 17:00 - 09.01.2024 17:30","N/A","1172"
"09.01.2024 17:30 - 09.01.2024 18:00","N/A","1207"
"09.01.2024 18:00 - 09.01.2024 18:30","N/A","1242"
